ID,分区,项目名,一句话定位,创始人,站点状态,Repo状态,团队评分,技术护城河,TAM,估值区间,推荐度,一句话判断,风险1,风险2,风险3,优势1,优势2,优势3,竞品(top3),官网,GitHub
A01,A,VibeChip / 芯辰启源,为模拟射频芯片设计公司提供模型/Agent/下一代设计平台,梁进帆,无公开站点,无公开仓库,4,清华IC实验室 AI+模拟射频数据集 + 模型/Agent/平台三位一体；数据标注壁垒,全球 EDA ~$18B；AI EDA 子赛道 CAGR 30%+，模拟/RF EDA 约 $3-4B 子细分,$15-30M pre-money（类比 InstaChip / Astrus 同期 Seed $10-25M post），考虑清华教授 IP 与博士+连续创业者 CEO 可上 $30M,4,国内 AI 模拟 EDA 稀缺标的，建议重点跟进 PoC 客户,巨头 Synopsys/Cadence 收购式反击,模拟数据标注成本高且依赖客户授权,AI EDA 商业化周期长，单 PoC 数月起,清华 IC 教授+博士 CEO 学术深度强,数据为护城河，先发标注积累有意义,模型/Agent/平台一体化，闭环价值高,Synopsys DSO.ai (Public（巨头模块）) / Cadence Cerebrus (Public（巨头模块）) / InstaChip (Seed),,
A02,A,鸿鹄聚变,商业可控核聚变 · 高温超导仿星器,戴立忠（实控人/投资人）,无公开站点,无公开仓库,4,国内唯一商业高温超导仿星器路线 + 圣湘董事长戴立忠个人资金+人脉+上海交大联合实验室,全球聚变私募融资 2024 累计 >$8B；商业化电力 TAM 万亿美元级；2030s 才到收入端,$50-150M pre-money（类比 Proxima Fusion 种子→A 跃迁与 Type One 早期，结合戴立忠个人投入与上市公司背书可上 $200M）,4,中国仿星器独苗，国家战略叙事强，估值锚 Proxima,仿星器线圈工艺难度高于托卡马克,10+ 年商业回收周期，资金消耗巨大,戴立忠个人持股 99%，治理与下轮稀释存疑,国内仿星器唯一商业玩家，稀缺性极高,上市公司董事长背书+持续资金能力,上海交大合作给学术与人才补强,Proxima Fusion (Series A €200M) / Type One Energy (Series A $82.4M) / Renaissance Fusion (Seed €15M),,
A03,A,LorentzKracht 洛伦原力,具身智能大模型专属的无线通讯,曾健安,无公开站点,无公开仓库,4,AI-native 6G 模组 + 墨大博士团队 + ITU-T 标准参与；具身智能云边算力卸载场景定位清晰,6G 模组 2030+ TAM 数百亿美元；具身机器人通信模组细分 2030 约 $5-10B,$20-60M pre-money（前沿无线 Seed-A 类比，澳洲澳籍创始团队估值通常打 0.8-1.0 折）,3,前瞻命题强，商业化节奏需谨慎，可观察,6G 标准 Release 21 才正式定义，节奏过早,客户教育期长，机器人侧买单意愿待验证,澳洲团队中国落地与监管复杂,国际化团队，标准参与+学术深度,具身智能场景与 6G 卸载切入点新颖,诺基亚贝尔/中移动 R&D 履历背书,Qualcomm Dragonwing Robotics (Public（业务线）) / Nokia Bell Labs / Ericsson (Public（研究）) / NVIDIA Aerial AI-RAN (Public（业务线）),,
A04,A,石岱重储,把废弃矿山变成巨型充电宝：安全，长时，零衰减,唐霄汉（董事）、欧阳倩（法定代表人/高管）,无公开站点,无公开仓库,4,废弃矿井天然落差+单通道循环大功率发电专利；全国唯一并网装备；英伟达 AIDC 生态合作,全球重力储能 2024 $42.2M → 2034 $3.2B，CAGR 61.5%；AIDC 长时储能 TAM 2030 达 $20B+,$30-80M pre-money（类比 Gravitricity 早期与天楹拆分子公司，国内并网首台+毕马威 50 强加分）,4,长时储能稀缺标的，AIDC 叙事+并网先发优势,地理依赖：合适矿井地理资源稀缺,Energy Vault/Gravitricity 海外先发+资本充裕,AIDC 客户 PPA 谈判周期长,国内首台并网，工程验证已过关,英伟达 AIDC 生态绑定切入点精准,成本下降 60%、功率提升 10× 数据亮眼,Energy Vault (NRGV) (Public 纽交所) / Gravitricity (Series B £40M) / Green Gravity (Pre-A),,
A05,A,慧化科技 InsightChemy,AI+化学：合成化学空间与新分子发现,田阳,无公开站点,无公开仓库,4,5 万种化学品数据 + GPCR/抗体/环肽复杂分子设计 Agent + 已有创新药销售利润 700 万元,AI 制药 2029 $6.89B；合成化学子赛道 $2-3B；中国 AI4D 投融 2024 >￥50 亿,$30-60M pre-money（A 轮 2000 万 RMB 已完成 → 下轮 A+/B；已有营收，可比晶泰早期 Series B-C 折算）,4,已有营收的 AI4Chem 早期标的，团队学历过硬,在读博士 CEO 投入度与全职度问题,GPCR/环肽难度高，技术验证周期长,二代产品销售利润仅 700 万，规模化未证,AI+化学已有现金流，A 轮完成,清华+中科院纳米中心硬核学术配置,复杂分子（GPCR/环肽）切入差异化,晶泰科技 (2228.HK) (港股上市) / Insilico Medicine (港股 IPO 2025-12) / Iktos (Series B $21M),,
A06,A,心片科技,AI 原生的芯片设计平台,刘玖阳,无公开站点,无公开仓库（创始人 GitHub @sequencer 个人活跃，Chisel 主开发者已确认）,5,Chisel 主开发者+RocketChip 维护者+ex-SiFive 团队；Scala eDSL+MLIR+RVV IP 全自研栈；Chip Agent 全自动设计,RISC-V 2024 $1.76B → 2030 $8.57B (CAGR 30.7%)；AI EDA $3-5B 子赛道,$30-100M pre-money（团队 SiFive 系+Chisel 开源资本，可类比 Astrus/InstaChip 高端 Seed-A，国内 RISC-V 创业平均估值参考蓝芯）,5,RISC-V+AI EDA 顶级技术团队，强推关注,国内 RISC-V 商业化路径未跑通,EDA + IP + Agent 三件套战线过宽,团队偏开源/工程，BD 与销售能力未验证,Chisel 主开发者，世界级开源声誉,SiFive 量产经验，14/28nm 已证,AI-native 芯片设计平台具备稀缺性,SiFive (Series G $400M @ $3.65B) / Tenstorrent ($800M @ $3.2B pre) / Synopsys/Cadence (Public),,
A07,A,RustFS,"GitHub 27,000 star · 全球增长最快的 AI 存储",李文凯 (Kevin Li),200 OK / 站点活跃，阿里云 OSS CDN 加速,"GitHub 28,496 stars（远超数据卡 27K，活跃度高）；Apache 2.0；MinIO AGPLv3 替代叙事",5,Rust 重写 S3 兼容存储 + DPU/NVIDIA STX 加速 + 100% S3 兼容 + 4KB 小对象吞吐 2.3× MinIO；开源 28K stars + 70% 美国部署,全球对象存储 2030 ~$60B；AI 存储子赛道 CAGR 26%；MinIO 替代窗口数十亿美元,$50-200M pre-money（500 万美元已到账，28K stars+企业客户+S3 alternative 叙事，参考 MinIO Series A 折算与 VAST 早期）,5,AI 存储 MinIO 替代窗口期最佳标的，强推,MinIO/AWS 价格战压制商业化,Rust 生态在企业存储仍属早期,中国创始团队美国市场销售挑战,28K stars 是 RustFS 阶段稀缺标志,中移动/国网+Twin Labs 双边客户验证,性能数据硬实力（323GB/s 读）,MinIO (Series B $1B valuation (2022)) / Amazon S3 (AWS 业务线) / Ceph / SUSE (开源/企业),https://rustfs.com,https://github.com/rustfs/rustfs
A08,A,灵泷 LynnReal,空间智能时代无感视觉交互界面,马炜杰,无公开站点,无公开仓库,5,Nature 648 (2025-11) 独立一作裸眼 3D 突破 SBP 极限 + 复旦特奖 + 中科院上海创智学院联培 + AI 算法替代特制光学,光场显示 2025-2032 CAGR 30%+；空间智能 3D I/O 2030 $10-20B；具身机器人交互场景潜在 $5B+,$50-150M pre-money（天使 3000 万 RMB 已到位，Nature 正刊+复旦特奖罕见组合，类比 CREAL 早期+Looking Glass 累计，加 Nature 估值溢价）,5,AI4Display 顶级科研落地标的，估值锚 CREAL,Nature 论文到量产之间巨大鸿沟,硬件供应链与产品化经验不足,面向 C 端市场教育期长,Nature 正刊独立一作技术深度极强,无需特制光学，BOM 与量产潜力大,天使 3000 万已完成，资本背书,Looking Glass Factory ($30M+ 累计) / CREAL (Series 累计 $32M) / Light Field Lab (Series B $50M+),,
A09,A,力场采样,针对药物研发的分子动态计算引擎,彭向达,无公开站点,无公开仓库,4,与 John Jumper（AlphaFold/诺奖）合作过 Upside ML 力场；精度同等下 5× 速度；环肽/抗体/GPCR 难分子专攻,AI 制药 CADD 子赛道 2029 ~$2B；MD 模拟全球 $500M-1B；可外溢到材料,$15-40M pre-money（早期已签 2 单 + 诺奖合作背书，AI4Science Seed 平均；与 Iambic 早期可比但规模小）,4,AI4Science 小而精团队，诺奖背书加分,团队规模小（彭+2 工程师），人才密度待补,ML 力场红海，差异化需持续证明,CRO/SaaS 模式收入天花板有限,与 AlphaFold 主笔合作的稀缺背书,已有订单+实战 4 年沉淀,环肽/抗体难分子市场切入差异化,OpenMM + AI 增强 (开源) / TorchMD / DeepMD (开源) / 晶泰科技 XFF (港股上市),,
A10,A,摩湃分子 MolplusAI,AI 科学家重塑生命科学 CRO 的交付能力,王俊毅,无公开站点,无公开仓库,4,All Modality（小分子/抗体/酶/融合蛋白）AI 科学家 + 企业级记忆大脑；STAT6 命中 3 天、纳抗成熟 6 小时,AI 制药 $6.89B by 2029；AI 科学家+CRO 替代 TAM $20B+,$20-60M pre-money（未披露融资，连续创业者+Silicon Therapeutics 系 CTO，类比 Iktos 早期与晶泰 Pre-A）,3,AI 科学家叙事强，但需独立验证数据,STAT6/纳抗结果尚需第三方独立验证,AI 科学家叙事拥挤，Isomorphic/Owkin 压顶,All Modality 战线过宽，PMF 风险,All Modality 是国内罕见技术广度,CTO 化学计算硬背景（Silicon Therapeutics）,演示数据（3 天命中靶点）若属实极强,Insilico Medicine (港股 IPO $2.7B) / 晶泰科技 (港股上市) / Iktos (Series B $21M),,
A11,A,芯引力,（公开信息有限）,未公开,无公开站点,无公开仓库,2,公开信息不足，方向推测为芯片/AI 硬件,依赖最终细分方向，无法估算,信息不足，建议要求公司补充材料后再估值,1,信息空白，建议等更多披露再判断,公开信息空白，DD 无法展开,无团队/产品/融资披露,可能为占位项目或重命名,命名暗示芯片赛道，与奇绩 A 区前沿科技匹配,—,—,未知 (—),,
B01,B,HiveMind/拓恳,跨品牌异构机器人群体智能操作系统,陈明,无公开站点（未提供 URL）,无公开 GitHub,5,异构跨品牌协同协议层 + 边缘大模型轻量化（VDA5050+ROS2 之上的厂商抽象）,全球多机器人协同/RMOS 2030 年 $80-150 亿，CAGR 35%+；中国具身机器人本体 2026 出货预计破 10 万台,Pre-money $40-80M（约 ¥3-6 亿）。8 厂商 10 型号已适配 + 中国移动 6G 战略合作 + 营收能见度，给到群体智能 OS 上限带；对比 Shield AI 早期 A 轮 $40M，本项目民用赛道折半上修,4,强推。卡位明确、商务落地早，赌通信派打机器人 OS 的差异路径,异构协同需厂商配合，若头部本体厂自建 OS（宇树/智元已有动作），适配价值被边缘化,交警机器人/啦啦队 demo 性强，是否能转化为可复制 SOW 待验证,团队基因偏电信/通信，不是机器人本体出身，能否在 ROS/运动控制深水区与原生玩家硬碰待观察,CEO 陈明爱立信中国 CTO + 5G NTN 卫星实证，'通信网络管亿万节点'方法论与多机器人协同同构,已有 2026 年营收 +中国移动研究院 6G 战略合作，B2B2G 通道清晰,群体智能 OS 是少数有可能成为'安卓'卡位的赛道,Shield AI Hivemind (Series G $12.7B 估值（2026.3）) / NVIDIA Isaac Swarm (大厂平台) / VDA5050 联盟 (标准组织),,
B02,B,影控机器人,人形机器人全身操作驾驶舱系统,王子峣,无公开站点,无公开 GitHub,4,1.2㎡ 大尺度全身 53DoF 操控压缩 + 双足/上肢协同数据采集,全球人形操控数据 2030 年 $30-60 亿（VLA 训练数据稀缺成最大瓶颈）,Pre-money $20-50M（¥1.5-3.5 亿）。数据平台型 TaaS 给 $20-150M 区间下限带，团队无大厂背书 + 客户全是本体厂客户取下半段；上限假设拿到 2-3 家头部本体厂续约合同,3,中性偏多。数据资产愿景大，但买方自建是结构性风险,买方都是本体厂，而宇树/智元/优必选都已自建遥操台，TAM 实际收窄到二线本体厂和科研院所,53DoF 全身数据的标准化/通用性存疑，不同本体形态难复用,CEO 王子峣首次创业、博士直接毕业即创业，团队工程化与商务能力待验,大尺度空间→1.2㎡ 压缩是真实痛点，对小空间科研团队/义肢厂吸引力强,TaaS+数据资产双轮模式想象空间大,东南大学控制方向梯队齐整，技术 PR 12 项,1X Technologies (拟 $10B 估值融资) / 宇树科技全身遥操平台 (C 轮 ¥120 亿) / 优必选数据采集中心 (上市公司),,
B03,B,SoftSync 柔偕科技,千元级软体仿生灵巧手，赋能碳基与硅基,林森源,无公开站点,无公开 GitHub,4,软体结构+线驱+弹性材料，让手吸收误差实现千元级 BOM,全球灵巧手 2030 年 $50-100 亿（占人形机器人 BOM 30%+），CAGR 40%+；义肢市场 $20 亿基本盘,Pre-money $15-40M（¥1-3 亿）。Linker Hand 已把价格战打到 ¥8800、月出货 4000 台，给后来者估值天花板压制；CEO 港大博士单点突破，团队尚未量产验证，取低位段；如能义肢端拿到二类证则可上 $40M,3,中性。技术派单兵突出，但赛道已被独角兽贴身价格战,灵心巧手 O7 ¥8800 已贴脸打千元级心智，留给 SoftSync 的差异空间是软体/安全性 narrative，市场是否买账存疑,义肢切入需医疗器械证（NMPA 二类至少 2-3 年），现金流压力大,软体材料一致性、寿命、控制非线性是工程化深坑，林森源单点强但团队薄,千元级软体 + 真实世界自适应抓取是差异化叙事,义肢→机器人训练数据→机器人本体的迁移路径合理,林森源 10 岁做机器人 + 港大软体方向 + 顾问陈永华，技术血统硬,灵心巧手 Linker Hand (B+轮，百亿独角兽，月出货 4000 台) / 帕西尼感知 PaXini (百亿独角兽，4 月 10 亿元) / 傲意 OYMotion (成熟商用),,
B04,B,星荧科技,千元级家用 AI 康复机器人,陈博宇,无公开站点,无公开 GitHub,5,前铁甲钢拳+科大讯飞医疗 CTO 双重二类证落地经验 + 三甲私有数据集,中国康复医疗器械 2030 年 ¥2000 亿（CAGR 16%）；家用 AI 健康终端长尾 $200 亿+,Pre-money $25-60M（¥2-4.5 亿）。CTO 团队带 2 张二类证 + 50 项专利的资产价值高，但赛道头部傅利叶已 ¥80 亿压制空间；千元级家用切入若能拿到二类证则升上限。对比傲鲨成立 7 年累计 ¥数亿、傅利叶累计近 ¥10 亿，本轮天使早期合理位 ¥2-4.5 亿,4,强推。最稳的'医疗+硬件'团队，下注落地确定性,医疗器械二类证 18-24 个月周期 + 三甲临床数据合规边界（私有数据集敏感）,千元级硬件成本结构与严肃医疗精度要求矛盾，需精确权衡,睡眠/慢病/精神调理摊得过宽，早期资源能否聚焦下肢主线待证,陈博宇双 CTO 履历是赛道稀缺资产，落地节奏可预判,三甲临床→社区康养→家用三阶通路完整，可形成数据飞轮,10 年外骨骼经验、50+ 专利、2 张二类证，硬基本盘,傅利叶智能 (¥80 亿估值独角兽，E 轮 ¥8 亿，筹备 IPO) / 傲鲨智能 (B 轮 ¥数千万，累计¥数亿) / 司羿智能 (C 轮),,
B05,B,雪梦未来 Snow Origin,Physical AI 时代的人类操控数据平台,秦旭（董事长）+ 王智林（CEO）,https://snoworigin.tech 200 OK（中文站，已上线）,无公开 GitHub,4,EMG 神经信号解码 + 全景头环多模态人类操控数据采集,全球 Physical AI 操控数据层 2030 年 $20-50 亿；EMG/HCI 消费 $30 亿+,Pre-money $15-35M（¥1-2.5 亿）。CTRL-labs 1 亿美金被收购可作长期出口锚，但当前 Snow Origin 仍在 PoC 早期。北大编解码实验室背书 + 早期种子估值合理位 ¥1-2.5 亿；如能拿到 1-2 家本体厂数据合同则可至 ¥3-5 亿,3,中性偏多。叙事大但 Meta 阴影下需找到 niche 差异,Meta 2025 神经腕带消费化后，B 端用户做 EMG 输入会被巨头标准吸虹,EMG 解码精度对个体差异大、20 分钟个性化数据是工程苦活,数据资产变现路径长（先做硬件→获数据→再卖数据/模型），现金流模式重,高文院士/智源黄铁军院长所在北大编解码实验室出身，学术血统硬,官网已上线（含中文版），早期可见执行力,可穿戴+EMG 数据是 VLA 模型未来稀缺燃料，长期叙事大,Meta (CTRL-labs) (2019 收购 ~$5-10 亿；2025 Nature 论文 + 2025 神经腕带产品化) / Rool'in EMG/AlterEgo (MIT) (研究阶段) / Brink Bionics/Pison (B 轮),https://snoworigin.tech,
B06,B,小鹰锐视,构建通用防抖减震能力，打造最精准的物理 AI 感知基础设施,付际,无公开站点,无公开 GitHub,3,SMA 紧凑型主动防抖模组 + 世界模型 Diffusion 生成式防抖,摄像头模组防抖全球 $60-100 亿（手机为主）；机器人/穿戴细分 $5-10 亿小众,Pre-money $10-25M（¥7000 万-¥1.8 亿）。SMA 模组上游被 CML 等海外卡专利、下游被手机大厂垂直整合，独立模组商难成大。前庭反射闭环+生成式防抖是新角度但商用未验，估值下限带；如能拿到一家头部机器人/穿戴定点订单可上 ¥3 亿,2,中性偏空。赛道太窄、巨头压顶，难做独立大业务,SMA 防抖核心专利已被 CML 把持十余年，IP 突围难,客户结构：机器人/AI 穿戴出货量级远低于手机，单价低，难撑大业务,World Model 防抖是研究 sketch，工程化路径不清,VOR 生物反射 narrative 在机器人语境下是新切入,团队有 CES/红点奖+千万级出货经验，工程经验扎实,防抖模组是真实细节痛点，机器人头部相机晃动确为感知瓶颈,Cambridge Mechatronics (CML) (成熟商用，手机 SMA OIS 领头) / Insta360 (上市公司) / 新思考/比亚迪电子等 VCM/OIS 模组厂 (成熟),,
B07,B,Elecholic Tech 异核科技,下一代空间输入的基础设施，零门槛毫米级全身动作捕捉,卢子寅,无公开站点,无公开 GitHub,4,4 立方米毫米级低成本空间定位（替代 Vicon/OptiTrack 高端方案）,全球动捕/室内定位 2030 年 $40-80 亿（含 XR/科研/具身数采）,Pre-money $10-30M（¥7000 万-¥2 亿）。'零门槛毫米级'是大叙事但毫米级是 NOKOV/瑞立视的护城河；如确能做到 4㎡ 毫米级且成本对比 Vicon 降一个量级，则可至 ¥3-5 亿。CEO 是 RM2018 冠军（华工华南虎卫冕）、CTO 华为 FPGA 背景，团队工程底子扎实但首创业,4,推荐。RM 冠军班底+具身数采赛道，技术上限存疑但赔率高,毫米级精度+4 立方米的工程难度极高，UWB 物理上限制约（10-30cm），需新原理（视觉/激光/混合）,国内 NOKOV/瑞立视已占领科研高校市场，B 端突围需差异化场景,消费 XR 市场被 Meta/HTC 标准统治，2C 路径艰难,RM 全国冠军团队，机器人+控制+硬件复合工程能力强,切具身数采+遥操做 Scaling law 数据采集卡位，赛道方向正,华为 FPGA CTO + 哈工大/斯图加特 CMO，团队结构整齐,Vicon/OptiTrack (海外成熟，单台 5-20 万) / 度量科技 NOKOV (成熟国产光学动捕) / 瑞立视 Realis (成熟),,
B08,B,MirrorSpace 映界科技,机器人空间大脑,金依力,无公开站点,无公开 GitHub,4,RGB+LiDAR+热成像三模态融合 4D 时空表征，复杂工况下机器人空间大脑,空间智能 SaaS+硬件 2030 年 $100-200 亿；机器人感知细分 $30 亿+,Pre-money $25-60M（¥2-4.5 亿）。麦吉尔+Mila 顶会团队 + 已签石油央企/物理 AI 模型方/头部本体厂三类客户，比纯学术型估值上修；天使+轮合理 ¥2-4.5 亿；若拿到央企正式 PO 可至 ¥6-8 亿,4,推荐。麦吉尔学术团队+央企+物理 AI 客户矩阵罕见,本体厂自建感知是结构性威胁，独立空间感知中间层位置脆弱,三模态硬件成本/标定难度高，规模化复制有限,团队学术派偏强、工程/商务薄，深圳公司初创管理待磨,金依力 Mila 博士+顶会一作+引用千次，学术 IP 硬,石油央企+物理 AI 模型方+头部本体厂三类客户矩阵罕见,热成像加入是工业巡检差异化卖点（与潇湘智控等垂直方互补）,群核科技 (Manycore) (拟 IPO) / 李飞飞 World Labs ($10 亿估值) / 宇树/智元自带感知栈 (百亿独角兽),,
B09,B,潇湘智控,有色冶金行业首个物理智能基座,计昊天,https://aiagent2025.com/projects/3ci83ytqb3tk 200 OK（奇绩项目页，非独立官网）,无公开 GitHub,5,中铝/魏桥/国家电投央国企客户矩阵 + 3105 台电解槽 10 万+小时私有生产数据,中国电解铝 ¥8970 亿基本盘，智能化渗透率 3-5%；扩展至铜/铅/锌/镍火法冶金 ¥2000 亿+,Pre-money $50-120M（¥3.5-9 亿）。Pre A ¥2000 万 + 已挂湖南股交所 + 央国企真实客户 + 3105 台电解槽数据，给到工业垂直机器人上限带；对比亿嘉和早期估值，本轮 ¥3.5-9 亿合理；如签订单饱满可至 ¥10 亿+,5,强推。垂直行业+真实客户+硬学术，最确定的 B 区项目,客户高度集中于电解铝央企，账期与回款压力大,央企自建/数智化部内卷化是结构威胁（中铝自有研究院）,出海'海外铝厂'声称需具体合同支撑，否则估值难撑,客户矩阵 + 真实生产数据是真正护城河，VC 视角最难得,中南大学陈晓方+桂卫华院士师承体系是行业准入门票,苏畅（清华朱军组 NeurIPS 一作）+ 何骄阳（RM 金奖）AI/工程团队结构罕见，远超同类垂直机器人公司,中铝集团内部数智化 (央企自建) / 宝武智慧冶炼 (钢铁标杆) / 广域 428 (工业巡检中游),https://aiagent2025.com/projects/3ci83ytqb3tk,
B10,B,Kynooe,打造机器人时代的乐高，让用户自由创造具身智能,蓝国伟,无公开站点,无公开 GitHub,4,可重构运动单元 + 开放 Robot Skills 平台,消费机器人/教育机器人 2030 年 $400-600 亿；模块化可重构细分 $30-50 亿（含 STEM/玩具）,Pre-money $15-40M（¥1-3 亿）。ETH+ANYbotics 师承背书强，但可重构+个人 AI 机器人历史上 Cubelets/Cellrobot/Moxie 全军覆没；早期天使估值 ¥1-3 亿合理；如能跑出爆款单品突破 10 万台月销可至 ¥5 亿+,3,中性。团队顶配但赛道有'乐高'诅咒，需看是否能突破历史循环,'机器人乐高'叙事已被多次验证为低 ROI 市场，Cellrobot/Moxie 等先烈在前,可重构架构在工程上意味妥协性能/成本/可靠性，三难兼顾,Skills 平台需要开发者生态，单点公司难启动正反馈,蓝国伟 ETH+ANYbotics+Amazon RIVR 师承体系是欧洲机器人最硬血统之一,刘佳桥德国国家自动驾驶中心+大众背景，技术深度足,可重构思路在 Agent 时代有新机会（Robot Skills app store 类比早期 iPhone）,Cubelets (Modular Robotics) (教育市场成熟) / Cellrobot (Keyi Tech) (2017 已折戟) / Eilik / Living.AI (消费爆款),,
B11,B,Oki Home,本地 AI 记忆助手,陈洛飞,okihome.ai HTTP/2 200（Vercel/Next.js，正常运行）。但站点定位与基础数据描述存在严重不一致：根据 YC W25 官方公司页面与,github.com/oki-apps/okihome-angular（API 限流未取到数据，但仓库存在）。注意：oki-apps 是一个同名但不相关的开源 ,4,本地推理 + 隐私优先硬件叙事，但当前实际产品形态已偏向 B2B SaaS，硬件壁垒未验证,全球 personal AI 硬件 2030 年 TAM $50B，CAGR 30%+；但赛道死亡率极高，Humane、Rabbit 已警示市场,$25-60M pre-money（YC W25 + UC Berkeley + 团队 7 年合伙是加分项；扣除 pivot 风险与 personal AI 硬件赛道阴霾，给中位区间）,3,团队强但产品方向待核实；建议 DD 时直接对齐 CEO 当前真实业务,产品已从消费硬件 pivot 到 B2B 工程 SaaS，路演 deck 与实际业务存在错位，奇绩 DD 须重新确认方向,Personal AI 硬件赛道前车之鉴 Humane Ai Pin 全军覆没、Rabbit R1 口碑崩塌，叙事红利已透支,本地 LLM 推理算力 + BOM 成本约束下，硬件难做出对 iPhone/Vision Pro 的差异化,团队 7 年合伙史 + YC W25 + Berkeley M.E.T.，创始人质量在批次中处第一梯队,CTO Aayush 在 Robinhood 从 50 到 4000 人见证全周期，工程组织经验稀缺,Designer Noah ETH Zürich + Berkeley 背景，品牌与工业设计基础扎实,Limitless AI Pendant (量产) / Humane Ai Pin (已倒闭) / Friend.com (已发售),https://okihome.ai/,https://github.com/oki-apps/okihome-angular
B12,B,增元造物,DIY 多色 3D 打印机,许康瑞,无公开站点。无官网、无官方社媒披露，仅有路演 PPT 与早鸟价格（2499 元）信息。早期项目，对外品牌建设尚未启动。,无 GitHub 链接。3D 打印硬件项目通常以闭源固件 + 开源切片插件形式存在，未提供任何代码或社区入口。换墨囊技术、换色算法均无技术 demo 公开。,3,「换墨囊」多色方案 + 性状替换模型 + 换色算法，工艺路线可行但壁垒不高，易被拓竹复制,全球消费级 3D 打印 2026 年市场 $50 亿，CAGR 23%；多色 FDM 子市场约 $8-12 亿,$8-25M pre-money（DIY 切入、价格仅竞品 1/2，硬件创业最低估值区间；缺乏技术壁垒证据扣 20%）,2,红海硬刚拓竹，团队背景与技术壁垒难撑高估值,正面硬刚拓竹 — 拓竹 AMS+H2C 已建立工艺/供应链/品牌三重护城河，新创业公司打入欧美渠道极难,团队学历背景（宿州学院 + 复旦 MEM）与硬科技叙事不完全匹配，吸引 A 轮机构难度大,DIY 用户群天花板低（年活跃 50-100 万人），转向主流消费市场需重新建产品定义能力,三位合伙人均深度沉浸 3D 打印 6-10 年，行业 Know-how 与玩家洞察扎实,早鸟价 2499 元打入入门级 DIY 玩家心智，性价比标签清晰,「换墨囊」式多色方案若专利布局到位，可能跳过拓竹 AMS 多色喷头切换的工艺路径,Bambu Lab 拓竹 (一年百亿营收) / Voron Design (开源社区) / Prusa MMU (量产),,
