ID,分区,项目名,一句话定位,创始人,站点状态,Repo状态,团队评分,技术护城河,TAM,估值区间,推荐度,一句话判断,风险1,风险2,风险3,优势1,优势2,优势3,竞品(top3),官网,GitHub
B13,B,歌渡科技,面向机器人精细操作的数据引擎,白纯歌,无公开站点。处于早期 stealth 阶段，符合具身智能数据公司常规节奏（数据资产先于品牌）。,无 GitHub 链接。指套采集硬件 + 多模态采集 SDK 为核心资产，倾向闭源；学术背景两篇论文 470+ 引用，可在 Google Scholar 检索。,5,可穿戴视觉+触觉+全身位姿+VSLAM 多模态指套数据采集，触觉数据稀缺壁垒,具身智能数据服务 2030 年 TAM $30-50B，CAGR 50%+；触觉细分赛道 $5-8B,$30-80M pre-money（清华 AI 硕士 + 智元一号应届生 + CMU 全奖 PhD offer + 智元灵犀技术合伙人，团队学术与产业背书顶配；具身数据为 2026 年最热赛道）,5,团队 + 赛道 + 卡位三重稀缺，强推星标项目,智元/π/Skild 等大厂都在自建数据采集团队，外部数据服务商商业模式（卖数据 vs SaaS vs 模型即服务）尚需验证,指套采集方案需大量标注劳动力 + 场景泛化设计，从 demo 到规模生产存在工程鸿沟,白纯歌从智元出来，是否带走核心 IP/人才存在潜在法律/伦理风险（智元背书也可能反向收紧）,白纯歌：清华 AI 硕 + 拒 CMU PhD 全奖 + 智元第一个应届生 + xlab 感知定位负责人，履历稀缺度极高,技术合伙人臧煜：智元灵犀事业线动作生成全链路负责人，2024 年 3 个具身 Benchmark SOTA,解决具身智能最核心瓶颈——真实触觉数据稀缺，方向价值确定性高,戴盟机器人 (已融资) / 穹彻智能 Noematrix (已融资) / Skild AI ($300M+ 估值),,
B14,B,Monako Glass,全球首款可穿戴 Linux 电脑｜戴在脸上的 IDE 随时随地 vibe coding,薛来,monako.ai HTTP/2 200（Vercel/Next.js，地理定位识别 US/INTL，多市场已上线）。/order 路径已开放预售。6 月 3 ,无 GitHub 链接。MonoOS（Buildroot Linux 定制）+ Lua 应用层 + Rive 动画运行时为核心闭源资产；公开 X 上承诺 Age,5,全球首款 48g 可穿戴 Linux 电脑 + MonoOS + Claude Code/Codex 端侧 Agent 接口,全球智能眼镜 2027 年市场 $120 亿，CAGR 45%；开发者/极客细分约 $5-10 亿,$80-200M pre-money（薛来 Thiel Fellowship + 英特尔最年轻工程师 + Passthrough AR 发明者 + Lingo3D 2000 stars，叠加 Percy Lau 时尚设计 + Candy Liu LVMH/牛津 MBA 渠道 + Zisu 工程 + 张纪翔西湖博士，团队配置接近顶级；6 月 3 日发布即破圈，公关势能可支撑高估值）,5,团队 IP + 公关势能 + 叙事三重领先，强推但盯紧续航良率,ARM Cortex A7 + 300mAh 电池跑 Linux + AI Agent 持续推理，续航与发热在实机端可能崩塌——Humane Ai Pin 死于同一陷阱,Candy Yue/Liu 作为公开发声口径与 CEO 薛来对外身份分工需澄清；国际媒体多数以 Candy 为创始人面孔，薛来 IP 是否兑现存疑,$399 预售 + 8 月深圳量产节奏对硬件初创极激进，量产良率与 BOM 价格压力可能导致延期或砍配置,薛来个人 IP 厚度 = 16 岁小行星 + Thiel Fellowship + 英特尔最年轻工程师 + WAIC 50 万人体验，是批次内单点品牌势能最强者,6 月 3 日 0 投放 X 百万浏览 + 七家国际媒体（Digital Trends/Yanko Design 等）报道，公关势能与产品话题度获双重外部验证,Vibe coding + Claude Code 端侧化叙事精准击中开发者 + AI 极客早期采用者，可绕开消费市场红海,Meta Ray-Ban (量产数百万) / Brilliant Labs Frame (已发售) / Even Realities G1 (量产),https://www.monako.ai/,
B15,B,溯洄智能,个人健康机器人 · AI 刷牙机器人,刘欢,无公开站点。处于硬件 PMF 早期，符合医疗器械+消费硬件公司未到 PR 阶段的常规节奏。,无 GitHub 链接。AI 刷牙机器人为闭源硬件 + 嵌入式系统 + 算法栈，无开源社区入口。,3,全自动刷牙机器人感知-决策-执行闭环 + 60+ 项专利 + 医疗器械注册证经验,全球电动牙刷 2026 年市场 $35 亿 CAGR 8%；AI/机器人化口腔护理子赛道 $5-10 亿,$15-40M pre-money（团队拥有医疗器械注册证 + 百台销售验证产能，加分；但儿童刷牙机器人 PMF 与全口式形态市场教育成本高，扣 20%）,3,团队工程力强但全口式形态市场教育周期长,全口式刷牙仪 babahu/Y-Brush 已尝试多年未爆发，儿童使用更涉及安全与家长信任双重门槛,团队营销总监 10 年日用品经验偏快消，与医疗器械+硬件机器人销售模式存在错配,60+ 专利数量可观但质量需 DD，康复机器人迁移到口腔机器人是否真有技术延续性需验证,刘欢博士已在康复机器人取得医疗器械注册证 + 百台销售，硬件落地能力得到第三方验证,切入儿童赛道避开成年人电动牙刷红海，家长付费意愿高、复购+耗材模型清晰,技术合伙人 10 年厂龄 + 全栈硬件能力，团队工程交付确定性较高,babahu X1 (已发售) / Y-Brush (法国) / Philips Sonicare (飞利浦),,
B16,B,Sportix AI,人类动作的特斯拉 FSD · 让运动可计算,沈书涵,sportix.ai 域名当前 302 跳转至 atom.com（域名转售平台），且被 Cloudflare 拦截访问。但公开报道（Dealroom/MEXC ,无 GitHub 链接。Match Intelligence Engine + Player Intelligence System + 链上分析师声誉系统为核,4,Match Intelligence + Player Intelligence + Simulation + 链上声誉系统四模块；国家体育总局合作未独立验证,全球体育数据分析 2028 年 TAM $80 亿，CAGR 22%；AI 运动训练子赛道 $15-20 亿,$40-120M pre-money（已完成 $3.2-3.5M 天使 + Animoca 领投 + FIFA 世界杯节点 + 5 万 C 端 + 460+ B 端教练，按国际媒体口径估值可能已落定 $30-50M post-money；上限给到 FIFA 流量爆发预期）,4,团队+融资+赛道俱佳但官网状态与多线战略需深入 DD,网站域名实际处于转售/Cloudflare 拦截状态，公开品牌建设与国际媒体披露存在落差，DD 须确认实际流量入口,Sportradar/Stats Perform 在足球数据已深耕 20 年，B 端俱乐部/转播商关系网难撼动,从射箭迁移到足球+射击+高尔夫，多线作战可能稀释焦点；2000 台硬件订单 + 2 天 157 模型实验数据需独立交叉验证,团队 10 多年深度链接 + 最强大脑 IP + CVPR 一作 + 射击射箭冠军，组合稀缺,Animoca Brands 领投 + $3.2-3.5M 天使已落地，且瞄准 FIFA 2026 时间窗,国家体育总局合作 + 奥运金牌世界第一背书（若属实）为 B 端切入提供顶级背书,Sportradar (Nasdaq 上市) / Stats Perform (已被并购) / Genius Sports (上市),https://sportix.ai,
B17,B,肆爱科技,具身智能导航大脑,张哲宁,无公开站点。室内数据采集 + 骑手众包业务模式偏 B2B，前期不需要 C 端品牌曝光，符合 stealth 阶段节奏。,无 GitHub 链接。世界模型架构、Ego Video 仿真栈、多模态 SLAM 均为闭源核心资产；100TB 数据资产是壁垒主体。,5,外卖骑手众包 + Ego Video 100TB 数据飞轮 + 北上多商圈高精地图,具身智能 + AR 室内数据服务 2030 年 TAM $40-60B，CAGR 50%+；室内高精地图细分 $5-10B,$40-100M pre-money（前 Tesla + Amazon Go Robotics 团队稀缺，导师师承图灵奖得主背书顶级；100TB 数据资产 + 北上商圈覆盖已成形可作为估值锚）,4,团队+数据资产稀缺，强推但盯紧平台方与监管风险,骑手众包数据采集涉及商场/写字楼隐私授权与城管合规，监管风险长期悬而未决,美团/饿了么自建数据团队可能复刻甚至屏蔽该模式，存在被平台方反向夹击风险,Ego Video 数据如何商业化（卖给具身智能厂 vs 自建模型 vs AR 应用）路径未定，营收节奏可能慢于估值预期,张哲宁前 Tesla 工程师 + 前 Amazon Go Robotics Applied Scientist，硬科技 0-1 能力稀缺,100TB Ego Video 数据 + 北上核心商圈高精地图已成形，先发壁垒明显,数据飞轮逻辑自洽（数据→算法→工具→骑手效率→更多骑手→更多数据），单点商业模式美感强,Skydio (估值数十亿) / Waymo Lidar 路网 (Alphabet 子公司) / Anduril Vision (已上市),,
B18,B,Oryn Tech 向原科技,构建真正共情人的 Personal AI + 硬件接口,杨思敏,oryn.tech HTTP/2 200（Shopify 店铺，AU 地区初始化，已上线澳元购物），说明已经具备 D2C 出海销售能力，比同批次多数项目品牌建设,无 GitHub 链接。多模态生理语义 LLM + 可穿戴硬件均为闭源资产；学术合伙人王娴 16 篇 IEEE/ACM 论文为间接 IP 证据。,4,可穿戴生理信号 + 多模态语义 LLM + 共情对话；学术+硬件复合团队,全球 AI 陪伴 + 心理健康可穿戴 2030 年 TAM $20-30B，CAGR 35%+；高端共情硬件细分 $5-8B,$20-60M pre-money（港科大博士 + 前大疆 PM + 港理工 16 篇 SCI 学术合伙人 + RoboMaster 全国季军硬件工程师，团队配置较强；已上线 Shopify D2C 通道是加分项）,4,团队+执行力强，看实际销量与生理信号合规进展,AI 陪伴硬件赛道死亡率极高（Humane/Rabbit 警示），用户长期复购与情感粘性需大量数据验证,生理信号采集涉及医疗合规边界，从'共情陪伴'迈向'情绪健康干预'路径长且监管严,Shopify 已建站但实际销量未公开，D2C 出海获客成本（CAC）在 2026 年明显抬升,杨思敏港科大博士 + 前大疆 PM 主导 10 万+ 用户产品，复合背景在 AI 硬件创业稀缺,王娴 16 篇 IEEE TVCG/CHI/IEEE Haptics 等 SCI/CCF-A 论文，触觉与多模态学术积累深,Shopify D2C 已上线（AU 地区初始化），团队从产品到销售通路已闭环，执行力胜过同批次同类项目,Friend.com (已发售 $99) / Plaud Note (现金流正) / Replika (上千万用户),https://oryn.tech/,
B19,B,LYNOOK 灵诺科技,给喜欢的角色一个家 · Anime × AI × Hardware,罗镜民,lynook.com HTTP/2 200（Vercel/Next.js，已上线品牌站，Project L 桌面陪伴盒子作为首款产品有清晰故事；目标欧美 + 英,无 GitHub 链接。AI 内容驱动 + 空间计算 + 渲染技术 + 状态机均闭源；二次元 IP 与角色资产是核心壁垒。,4,自研空间计算+三维渲染 + 独立生活状态机 + 多设备磁吸堆叠形成角色生态,全球 ACG 周边硬件 2027 年 TAM $30-40B；二次元桌面陪伴细分 $2-4B，欧美男性核心用户付费力强,$15-45M pre-money（团队复合背景较好——视觉算法 + 资深二次元 + 太古 CVC 商业经验 + 二次元从业者；Project L 尚未发布但 Discord 社区已聚集，海外定位清晰；扣除消费硬件量产风险给中位）,3,团队配置好、定位清晰，看 Project L 实物与 Discord 转化,二次元桌面陪伴市场教育成本高（Tamagotchi-Vector-Anki 多次失败教训），用户付费转化需在 Discord 早期数据验证,海外 ACG 核心用户对 IP 版权敏感，自创角色 vs 联名 IP 路线选择影响商业天花板,多设备磁吸堆叠 BOM 成本高，硬件量产良率与定价区间需 Project L 实物验证,罗镜民武大 + 腾讯 AI Lab + 初中二次元社区站长 + Discuz! 插件版版主，技术 + 圈层双背景在 ACG 硬件创业稀缺,联创张佳怡悉尼大学本硕 + 太古 CVC + 30 年消费电子渠道 + IF 奖背景，商业与渠道能力补足创始人短板,Discord 已落地海外社区 + 欧美男性二次元核心用户精准定位，避开国内红海,Tamagotchi (万代上市公司) / Looi Robot (Kickstarter 走红) / Vector (Anki 倒闭后复活),https://www.lynook.com/,
E01,E,点漾科技,AI 硬件生成平台,孔德超,未提供官网。dyearn.com 疑似关联域，但页面几乎空白，仅显示公司名，无产品介绍/Demo/Roadmap 等信息，对外触点几乎为零。说明公司仍处于隐身模,未提供 GitHub。在 PCB Agent / EDA 这种'懂硬件的人才稀缺'赛道，开源 demo（即使是小型电路自动生成）是最有效的招聘和技术信誉手段。F,4,百度系工程班底 + 5 人工厂驻场 1.5 年（PCB 制造数据闭环）,全球 PCB 设计软件 ~$25 亿，硬件设计自动化 ~$80 亿；国内 PCB 产值 ~$400 亿，AI 渗透率 <2%。若做到设计-制造一体化，TAM 可叠加桌面级硬件原型（类 Markforged 路径）至 $200 亿。中国 PCB 工厂数量全球第一，但 EDA 软件 90% 用 Cadence/Altium，国产替代 + AI 是双重叙事。早期市场以中小硬件团队和高校实验室为切入点更现实。,$30-70M pre-money（早期、未公开融资、Agentic EDA 赛道、Flux.ai 类比但中国地域折扣）,3,赛道好且海外有标杆，但官网/开源 0 输出是减分项，可观察。,Flux.ai 已融 $32M C 轮、JITX 已融 $15M，先发优势 + 海外开发者社区难以追赶,'制造反推设计'闭环目标过于宏大，需要同时啃下数据-模型-机械 3 块硬骨头，资金消耗速率高,PCB 工厂多为传统制造商，决策慢、付费意愿低，B 端商业化周期可能 12-18 个月,团队驻场 1.5 年沉淀的 PCB 工艺数据是稀缺资产，海外对标公司没有中国工厂场景数据,百度系架构师 + Agent 专家配置在工程实现上扎实,CMO 60 天覆盖 Top50 工厂 80% 管理层，渠道能力反常规强,Flux.ai (Copilot) / JITX (代码即电路) / CELUS (欧洲 PCB Agent),,
E02,E,奇点引擎 Singularity Engine（Video Harness）,企业 AI FDE 部署公司 · Video Harness 改写视频生产,曹瑞鹏,未提供官网。已是 Delaware 注册的 C 公司、已完成 $5M Seed (post-$40M)、还做了 A11 路演日 80% 视频投放，但对外仍无 l,未提供 GitHub。Video Harness 属企业内部交付系统，闭源合理。但视频生产领域开源生态活跃（ComfyUI、Open-Sora），若不释放任何技,3,FDE 模式 + 印刷家族工业系统真实 SOP/质检经验沉淀进 video pipeline,全球数字广告 ~$7000 亿，企业品牌 video 制作 ~$200 亿（含外包代理商），AI 视频生产渗透率 <5% 但增速 100%+。FDE 切口聚焦中大型品牌客户的'广告生产中心'，单客户年付 $100K-1M 合理。中国对应市场 ~600 亿人民币，主要竞争来自 Kling/即梦/可灵的工具流，FDE 模式差异化在'交付 + 沉淀'，可避开纯模型价格战。,$40-80M pre-money（已有 $40M post Seed，FDE+品牌客户验证；下一轮 A 估值常见 2-3x，即 $80-120M post-A 区间合理）,4,FDE 模式 + 真实付费交付，是该批稀有的已验证项目，可参与跟投。,Sora 2/Veo 3/Kling 2 等通用视频模型能力快速逼近，'品牌级'差异化窗口可能 12 个月内被压缩,FDE 模式人均产能受限，规模化需要大量 PM/视频导演型混合人才，招聘瓶颈明显,创始人背景是印刷制造非视频/广告/科技，缺乏行业渠道与品牌客户原始网络,已有付费交付 + A11 路演日 80% 投放实际产出，PMF 信号比同类项目硬,$5M Seed + Delaware 架构便于美元市场扩展,印刷工业 SOP 经验罕见地适配'批量交付 + 质量稳定'的企业需求,Runway (Gen-3) / OpenAI Sora () / Pika (),,
E03,E,飞咔,AI 时代的内容表达入口,王哲,数据中标注的 nextbanker.cn 实际是 ShadowGlow（AI 项目情报引擎），与飞咔无关，可能是基础数据错挂。飞咔本体是移动端 App，无官网是,未提供 GitHub。C 端内容工具闭源合理，无需开源。但 FFmpeg 深度定制的技术栈若能输出 1-2 个开源工具（如视频后处理库），有助于技术招聘。,3,FFmpeg 深度自研视频管线 + 内容理解-用户匹配-表达生成全链路闭环,全球内容创作工具市场 ~$500 亿，中国短视频/图文创作工具 ~600 亿人民币。剪映/CapCut MAU 数亿，飞咔 130 万累计用户在该赛道属早期，但 30 天新增 80 万的增速强（可能依赖买量），增长可持续性需观察留存数据。'专业表达'差异化定位若锁定特定垂类（如金融/教育/B 端 KOC）可有 10-30 亿 niche 市场。,$15-35M pre-money（1000 万人民币融 8% 已隐含 ~$17M post-money，C 端内容工具早期估值，下一轮需要 DAU/留存/付费转化数据支撑）,2,C 端工具赛道拥挤，增长有真实数据但留存存疑，谨慎观察。,字节剪映、Adobe Express、Canva 三面夹击，C 端工具差异化窗口小,30 天新增 80 万 vs 累计 130 万说明用户基本盘很新，留存/付费率未验证，DAU/MAU 可能很低,南京大学博士 + 服务'新华社、人民网'背景偏 G 端关系，与消费级互联网产品的快速迭代基因不完全契合,增长速度真实可观（30 天 80 万新增），抓到了某条短视频/内容渠道的红利,FFmpeg 深度自研是同类轻量级工具少有的技术深度,团队从 2017 年共同创业，配合时间长，稳定性强,剪映 (CapCut (字节)) / Canva () / Adobe Express (),,
E04,E,明悉科技 InsightSec,打造面向企业与组织的 AI 风险捕获平台,沈明航,未提供官网。安全公司（尤其面向公共安全/国家级客户）保持低调甚至无官网在国内是常态（玄武实验室、长亭科技早期都很低调），符合行业规律。但'天枢'作为产品品牌已无,未提供 GitHub。安全攻防研究通常会有 CVE 公告页 + BlackHat 议题录像 + 个人技术博客作为信誉背书；沈明航有数百枚 CVE 是硬通货，建议,5,玄武实验室基因 + 数百 CVE + BlackHat/CCS 顶会战绩 + GeekPwn 双冠,全球网络安全 ~$2000 亿，AI 安全垂类 ~$300 亿且高速增长（AI Agent 安全是 2025-2027 最热细分）。中国网络安全 ~1000 亿人民币，奇安信/深信服/启明星辰为主，AI Agent 风险捕获方向几乎空白，明悉切入时机精准。10+ 公共安全/国家级任务说明 G 端高客单价路径已打通，单客户年付 ~500 万合理。,$60-120M pre-money（玄武 + CVE 数百 + 国家级合同 10+，对标 Adlumin/Vectra AI Series A 在 $80-150M post）,5,团队顶配 + 时点精准 + G 端订单已落地，本批首推。,国家级/公共安全客户回款周期长（6-18 个月），现金流压力大，1500 万天使可能撑不到 PMF 验证,奇安信/深信服/360 在政企渠道根深蒂固，新厂商进入头部客户需 18-36 个月渠道建设,AI Agent 安全是新兴赛道，监管/合规标准尚未成型，客户预算分类困难,团队是国内安全攻防最顶级班底之一（玄武 + 阿里安全 + 字节），技术信誉满分,10+ 国家级任务已签 = G 端订单与品牌背书双重打通，进入门槛已跨过,'攻防一体化'切入 AI Agent 安全空白市场，时点和叙事都对,Mandiant (Google) / CrowdStrike (Falcon) / 奇安信 (),,
E05,E,ArcherSmart.AI,智能工厂的 Harness 驾驶舱——让工厂像自动驾驶一样运行,陈广博,数据中的 site 字段实际指向 github.com/archersmart（不是官网）。该 GitHub 组织页面仅有 3 个空壳仓库：archersmar,github.com/archersmart 组织存在但实质为空：3 个 repo 全部 0 star，最新活跃仅是 website 模板的 commit，无 ,4,Rancher 系 AI Infra 班底 + 共事 5 年 + BBA/施耐德制造业 know-how,全球工业互联网平台 ~$1200 亿，离散制造数字化 ~$400 亿；中国离散制造数字化 ~3000 亿人民币（含 MES/ERP/IoT 集成），AI 驾驶舱属新增量。GE/西门子过去 10 年在工业互联网烧掉 $50 亿+ 仍未盈利，市场教育艰难是公认事实。'Harness'命名借鉴自 K8s 生态，技术叙事新但客户认知门槛高。船舶焊接 niche 单价高（千万级），但工厂数量有限（全国 ~50 家大型船厂），天花板需多行业扩展。,$30-60M pre-money（连续创业者 + Rancher 退出经历 + 2 家工厂落地，工业 SaaS 早期估值惯例）,3,团队履历强、PoC 数据真，但工业 SaaS 历来难做且开源/品牌缺位，谨慎跟进。,GE Predix 烧 $40 亿仍失败的前车之鉴说明工业互联网 SaaS 极难规模化,GitHub 空壳与团队 Rancher 开源基因严重不匹配，对外信任度建设缺位,船舶/汽车零部件/PCBA 三个行业 PoC 同时推进，5 人核心团队精力分散风险高,创始人有 Misfit→Fossil + Rancher→SUSE 两次成功并购退出，资本运作经验罕见,2 家千人级工厂 6+ 月部署 + PoC 客户 2 月 4 倍增长，落地能力得到验证,Rancher 系 K8s 工程文化 + 制造业 know-how 的组合在中国工业 AI 赛道稀缺,GE Predix () / Siemens MindSphere () / Rockwell FactoryTalk (),https://github.com/archersmart,https://github.com/archersmart
E06,E,Meridian 子午线,让中国出海销售拥有本地销冠的判断力,周玉林,未提供官网。出海销售 AI 工具面向的客户主要是中国 B 轮+ 出海企业销售 VP，决策人会先做 LinkedIn + 官网背景调查，无官网在该客群严重影响信任,未提供 GitHub。销售 Agent 闭源合理，但建议团队个人 GitHub 公开（蒋正兴 2024 中国计算机学会 AI+工业制造全国第三的赛事成果若有开源,3,硅谷 B2B SaaS 销冠实战 + Equals.app 创始销售 + 中英双母语 + 中国出海 B 轮 KA 销售 VP 经验,全球销售 Tech 市场 ~$300 亿，AI Sales Agent ~$50 亿且 2024-2027 CAGR 60%+。中国出海企业（DTC/SaaS/跨境电商/硬件出海）数 ~5 万家，付费意愿强烈但客单价分化大。Meridian 切'本地销冠判断力'差异化避开 Gong 的会议分析红海，niche 但天花板可见——若锁定 200-500 家头部出海客户，单客户 5-20 万人民币/年 = 1-10 亿 ARR 天花板。需扩展至全球（非中国出海客户）才能撑起独角兽估值。,$20-50M pre-money（未公开融资、Gong 类比、中国出海 GTM 细分，对标 11x.ai 早期 $50M post Seed 但中国地域折扣）,4,Founder-market fit 强、定位聚焦，但需观察产品+海外扩张节奏，可参与早期。,Gong/Salesloft 已开始原生支持中文 + 海外市场情报，正面竞争窗口期可能 12-18 个月,中国出海企业付费 SaaS 习惯弱，客单价天花板低，单纯卖中国客户难撑独角兽规模,2 人团队（CEO + 技术 VP）过于精简，缺少海外本地 BD/PMM/客户成功，规模化时招聘挑战大,周玉林是少数同时具备硅谷 SaaS 销售实战 + 中国出海 KA 经验 + 中英双母语的 founder，差异化人才稀缺,Equals.app 创始销售经验意味着对 PLG + 销售辅助的早期建设有 hands-on 认知,切口'本地销冠判断力'比泛 AI SDR 更聚焦，方便讲清楚价值,Gong.io () / Salesloft () / Clari (),,
E07,E,NextBanker,用 AI 挖掘'潜在独角兽',王新宇,"HTTP 200 OK，nextbanker.cn 已上线运营。站点品牌名实为 ShadowGlow，定位""水下高潜项目线索发现引擎""，宣传100+监控渠道、每",项目无公开GitHub仓库；产品为闭源SaaS，代码资产风险全部集中于团队内部，外部无法独立评估工程质量与代码安全。建议尽调阶段要求查看技术架构图、数据爬取合规,4,AI爬虫+雷达+创始人Agent闭环，金融×CS铁三角执行力强,中国早期一级股权市场年规模~1.2万亿，FA+投资机构sourcing工具SaaS可触达TAM约30-50亿RMB；若延伸到中后期投行咨询则可对标百亿。但中国LP冷、机构降本、SaaS付费意愿弱，3-5年现实SAM更可能在3-8亿RMB量级。,$40-80M pre-money。星项目+清华金融+字节工程铁三角溢价合理，但产品已上线尚未跑出付费验证，按早期AI sourcing天使轮中位偏上给。,4,团队A、产品已跑通，估值愿景需收敛到sourcing工具本位,"宣传定位""AI埃森哲+高盛""过大，实际产品仅是sourcing雷达，长期演化路径需重证；",数据来源依赖小红书/招聘等公开信号爬取，合规与数据稳定性长期承压，且易被同类工具复制；,中国VC市场降温，付费方ICP预算紧缩，PMF与LTV兑现需2-3年观察期。,团队结构完整：CEO中金五年投行+清华金融+CTO字节SRE+COO国际设计奖，金融认知与工程交付都能闭环；,产品已上线且有自发传播，从公开站点看打磨度高于同期天使项目；,切入水下早期项目线索这一痛点真实存在，FA与早期VC普遍缺乏系统化工具。,IT桔子+AI改造 () / 鲸准 (烯牛) / Crunchbase (PitchBook),https://nextbanker.cn,
E08,E,TocLean 万象智能体,用 TOC + LEAN AI 赋能制造业打造端到端 Agent 军团,夏乐冰,"无独立官网，疑似复用其母公司""拨云见日""（See The Silver Lining/STSL）。BD与品牌曝光主要走36氪、阿里云创新中心等渠道。从公开报道看",无公开GitHub仓库。考虑到主要交付是行业Know-how+控制器+RaaS对赌，代码闭源合理，但需在尽调中查看其TOC+LEAN算法的专利布局、与科大讯飞的,5,福耀全球CIO+TOC/LEAN方法论+RaaS对赌交付，软硬件一体可复制,中国制造业数字化转型市场年规模~3000亿RMB，AI Agent切入制造SOP/排产/质量环节TAM可达500-800亿。但实际可被RaaS对赌覆盖的高价值场景集中在头部500家制造集团，前5年SAM~50-100亿。,$50-100M pre-money。福耀CIO背景+已落地行业数据+RaaS模式天然押注交付结果，议价能力高。若A轮估值参照科大讯飞此前进入价已经偏高。,5,创始人级A，工业Agent最具RaaS可兑现性的项目之一,制造业客户决策链长、回款慢，RaaS对赌如收益归属与数据归属界定不清，会出现纠纷；,TOC/LEAN方法论本身非专利壁垒，竞品（西门子/海尔/黑湖）可复制框架，长期moat在Know-how沉淀速度；,夏乐冰个人IP重，二号位与组织梯队需补，规模化复制存在'明星CIO天花板'风险。,创始人为福耀全球CIO，百厂落地经验是行业稀缺资产；,RaaS对赌模式与企业利益强对齐，付费意愿与续约率天然占优；,已获科大讯飞A轮背书，资源协同（讯飞星火大模型+渠道）形成飞轮。,西门子MindSphere () / 海尔卡奥斯 () / 树根互联 (),,
E09,E,树为智能,具身智能物理因果数据引擎，教会机器人物理规律,张鑫,无独立官网；公开搜索引擎对'树为智能 张鑫 接触动力学'未返回独立网站或微信公众号入口，对外曝光极低。对一家面向具身智能数据引擎赛道的早期项目尚可理解，但相较帕,无公开GitHub仓库；接触动力学与物理因果仿真核心代码闭源，需在尽调中验证'物理真值标注引擎'是真自研还是基于Mujoco/Isaac Sim/Genesis,4,接触动力学博士+50篇顶刊+物理真值数据引擎，AI4Physics垂直纵深,具身智能仿真数据+真值标注市场2026年TAM~50-100亿RMB，2030年伴随机器人本体放量可达千亿；但当前付费方主要是机器人厂商，前5年SAM~10-30亿。光轮、群核等已占领部分赛道。,$30-80M pre-money。具身世界模型/数据引擎赛道2026年Q1头部估值已抬至200亿RMB（星海图），早期数据引擎方向团队学术背景过硬可给到天使中位上沿。,4,硬科技纵深好，需快速跑出标杆客户与差异化叙事,数据引擎为'卖水人'路径，但客户（机器人本体厂商）现金流自身紧张，付费节奏弱于预期；,物理因果赛道学术氛围浓，与穹彻智能(力觉+视觉融合)、光轮智能(合成数据)直接重合，差异化叙事需重做；,副教授兼职创业的精力分配与团队全职化进度，是早期落地速度的关键瓶颈。,张鑫接触动力学博士+985副教授+50余篇顶刊，是少有'真懂物理'的具身创业者；,郭金宇剑桥联培博士+王效愚ABB/GE 20年销售，研发-商务搭配相对完整；,切入物理因果数据这一被VLA路线长期忽视的环节，技术叙事有独到性。,光轮智能 (合成数据) / 群核科技 (Coohom) / 帕西尼 (触觉),,
